,average area,concentration,date,day,medium,specie
0,810890.6169850025,50.0,2018-06-26,5,MEA,S.commune
1,345036.4087547866,50.0,2018-06-24,3,MEA,S.commune
2,29391.170070659307,50.0,2018-06-22,1,MEA,S.commune
3,564641.0656235715,50.0,2018-06-25,4,MEA,S.commune
4,130796.54494078184,50.0,2018-06-23,2,MEA,S.commune
5,515163.59932341013,52.5,2018-06-26,5,MEA,S.commune
6,192570.72848586913,52.5,2018-06-24,3,MEA,S.commune
7,20214.05433074792,52.5,2018-06-22,1,MEA,S.commune
8,375491.0079386861,52.5,2018-06-25,4,MEA,S.commune
9,56030.30497677397,52.5,2018-06-23,2,MEA,S.commune
10,646480.0778483612,47.5,2018-06-26,5,MEA,S.commune
11,242577.5531481603,47.5,2018-06-24,3,MEA,S.commune
12,25776.76772270426,47.5,2018-06-22,1,MEA,S.commune
13,596058.5629557961,47.5,2018-06-25,4,MEA,S.commune
14,102213.8113796463,47.5,2018-06-23,2,MEA,S.commune
15,745088.3880592376,58.5,2018-06-26,5,PDA,S.commune
16,348295.811132886,58.5,2018-06-24,3,PDA,S.commune
17,38760.970159990866,58.5,2018-06-22,1,PDA,S.commune
18,622439.9825445614,58.5,2018-06-25,4,PDA,S.commune
19,140181.52939460575,58.5,2018-06-23,2,PDA,S.commune
20,638134.2125646246,19.5,2018-06-26,5,PDA,S.commune
21,290788.06001102383,19.5,2018-06-24,3,PDA,S.commune
22,42370.13652018994,19.5,2018-06-22,1,PDA,S.commune
23,468043.0007118672,19.5,2018-06-25,4,PDA,S.commune
24,156837.20644638766,19.5,2018-06-23,2,PDA,S.commune
25,5026.548245743669,39.0,2018-06-26,5,PDA,S.commune
26,486397.6061908153,39.0,2018-06-24,3,PDA,S.commune
27,60213.859193804376,39.0,2018-06-22,1,PDA,S.commune
28,675212.5606593179,39.0,2018-06-25,4,PDA,S.commune
29,227673.83759953026,39.0,2018-06-23,2,PDA,S.commune
30,533243.4650448194,NA,2018-06-26,5,YPD,S.commune
31,125254.51370046166,NA,2018-06-24,3,YPD,S.commune
32,7993.25890828363,NA,2018-06-22,1,YPD,S.commune
33,254944.17082962865,NA,2018-06-25,4,YPD,S.commune
34,34542.59662438317,NA,2018-06-23,2,YPD,S.commune
35,19151.148816283378,50.0,2018-06-27,1,MEA,A.oryzae
36,509518.1573249094,50.0,2018-06-29,3,MEA,A.oryzae
37,230767.78276454064,50.0,2018-06-28,2,MEA,A.oryzae
38,17204.9321673845,52.5,2018-06-27,1,MEA,A.oryzae
39,223563.58721108362,52.5,2018-06-29,3,MEA,A.oryzae
40,168696.45691430132,52.5,2018-06-28,2,MEA,A.oryzae
41,24511.22948208317,47.5,2018-06-27,1,MEA,A.oryzae
42,484583.8600321428,47.5,2018-06-29,3,MEA,A.oryzae
43,43743.536108584274,47.5,2018-06-28,2,MEA,A.oryzae
44,27148.596514771794,58.5,2018-06-27,1,PDA,A.oryzae
45,205887.41614566065,58.5,2018-06-29,3,PDA,A.oryzae
46,336099.62485287484,58.5,2018-06-28,2,PDA,A.oryzae
47,28268.05069700096,19.5,2018-06-27,1,PDA,A.oryzae
48,205887.41614566065,19.5,2018-06-29,3,PDA,A.oryzae
49,226784.24327978876,19.5,2018-06-28,2,PDA,A.oryzae
50,26463.729316289217,39.0,2018-06-27,1,PDA,A.oryzae
51,205887.41614566062,39.0,2018-06-29,3,PDA,A.oryzae
52,140130.0421816719,39.0,2018-06-28,2,PDA,A.oryzae
53,43743.53610858428,NA,2018-06-27,1,YPD,A.oryzae
54,205887.41614566065,NA,2018-06-29,3,YPD,A.oryzae
55,171436.01297469423,NA,2018-06-28,2,YPD,A.oryzae
56,236764.55954146796,50.0,2018-06-26,5,MEA,S.commune.DSC3
57,54434.37590875035,50.0,2018-06-24,3,MEA,S.commune.DSC3
58,5377.883024170128,50.0,2018-06-22,1,MEA,S.commune.DSC3
59,137760.9322550148,50.0,2018-06-25,4,MEA,S.commune.DSC3
60,16310.625458662607,50.0,2018-06-23,2,MEA,S.commune.DSC3
61,374210.8089323482,52.5,2018-06-26,5,MEA,S.commune.DSC3
62,118249.54748111981,52.5,2018-06-24,3,MEA,S.commune.DSC3
63,11876.267428120613,52.5,2018-06-22,1,MEA,S.commune.DSC3
64,231468.88152506677,52.5,2018-06-25,4,MEA,S.commune.DSC3
65,46075.121456323504,52.5,2018-06-23,2,MEA,S.commune.DSC3
66,7002.08642607605,47.5,2018-06-26,5,MEA,S.commune.DSC3
67,6506.238385584461,47.5,2018-06-24,3,MEA,S.commune.DSC3
68,5412.9641421352135,47.5,2018-06-22,1,MEA,S.commune.DSC3
69,8394.859169167525,47.5,2018-06-25,4,MEA,S.commune.DSC3
70,8077.558311154957,47.5,2018-06-23,2,MEA,S.commune.DSC3
71,142502.11916805743,58.5,2018-06-26,5,PDA,S.commune.DSC3
72,56362.26660050327,58.5,2018-06-24,3,PDA,S.commune.DSC3
73,7763.922644571576,58.5,2018-06-22,1,PDA,S.commune.DSC3
74,134658.0859108193,58.5,2018-06-25,4,PDA,S.commune.DSC3
75,20507.79324385857,58.5,2018-06-23,2,PDA,S.commune.DSC3
76,17881.421785457507,19.5,2018-06-24,2,PDA,S.commune.DSC3
77,102317.48393721475,19.5,2018-06-26,4,PDA,S.commune.DSC3
78,53860.5116506946,19.5,2018-06-25,3,PDA,S.commune.DSC3
79,14289.010586077575,19.5,2018-06-23,1,PDA,S.commune.DSC3
80,739433.5212827759,39.0,2018-06-26,5,PDA,S.commune.DSC3
81,306260.77782907896,39.0,2018-06-24,3,PDA,S.commune.DSC3
82,23239.408056154894,39.0,2018-06-22,1,PDA,S.commune.DSC3
83,572062.5546689018,39.0,2018-06-25,4,PDA,S.commune.DSC3
84,163596.8666393617,39.0,2018-06-23,2,PDA,S.commune.DSC3
85,160912.37571686925,NA,2018-06-26,5,YPD,S.commune.DSC3
86,32523.86154506393,NA,2018-06-24,3,YPD,S.commune.DSC3
87,9822.713030224086,NA,2018-06-22,1,YPD,S.commune.DSC3
88,52946.30818849998,NA,2018-06-25,4,YPD,S.commune.DSC3
89,19255.86857140304,NA,2018-06-23,2,YPD,S.commune.DSC3
90,297071.51459757367,19.5,2018-06-26,5,PDA,P.ostreatus
91,106900.74036956752,19.5,2018-06-24,3,PDA,P.ostreatus
92,25858.645481238433,19.5,2018-06-22,1,PDA,P.ostreatus
93,214763.78983883778,19.5,2018-06-25,4,PDA,P.ostreatus
94,52921.30634696516,19.5,2018-06-23,2,PDA,P.ostreatus
95,126651.2134343701,NA,2018-06-26,5,YPD,P.ostreatus
96,52255.68140348582,NA,2018-06-24,3,YPD,P.ostreatus
97,10780.375190793377,NA,2018-06-22,1,YPD,P.ostreatus
98,93927.72985610932,NA,2018-06-25,4,YPD,P.ostreatus
99,25609.0852148189,NA,2018-06-23,2,YPD,P.ostreatus
