,area,concentration,date,dupl,medium,species
0,82447.95760081054,47.5,2018-06-22,1,MEA,S.commune
1,7853.981633974483,47.5,2018-06-22,1,MEA,S.commune
2,8494.8665353068,47.5,2018-06-22,1,MEA,S.commune
3,13684.77759903714,47.5,2018-06-22,2,MEA,S.commune
4,34636.05900582747,47.5,2018-06-22,2,MEA,S.commune
5,7542.9639612690935,47.5,2018-06-22,2,MEA,S.commune
6,4536.459791783661,47.5,2018-06-22,1,MEA,S.commune.DSC3
7,4778.362426110075,47.5,2018-06-22,1,MEA,S.commune.DSC3
8,6082.12337734984,47.5,2018-06-22,1,MEA,S.commune.DSC3
9,6647.610054996002,47.5,2018-06-22,2,MEA,S.commune.DSC3
10,6361.725123519331,47.5,2018-06-22,2,MEA,S.commune.DSC3
11,4071.5040790523717,47.5,2018-06-22,2,MEA,S.commune.DSC3
12,17203.36137105771,50,2018-06-22,1,MEA,S.commune
13,101787.60197630929,50,2018-06-22,1,MEA,S.commune
14,13684.77759903714,50,2018-06-22,1,MEA,S.commune
15,10568.317686676064,50,2018-06-22,2,MEA,S.commune
16,14957.122623741005,50,2018-06-22,2,MEA,S.commune
17,18145.839167134644,50,2018-06-22,2,MEA,S.commune
18,3631.681107549801,50,2018-06-22,1,MEA,S.commune.DSC3
19,6939.778171779853,50,2018-06-22,1,MEA,S.commune.DSC3
20,9503.317777109125,50,2018-06-22,1,MEA,S.commune.DSC3
21,3421.194399759285,50,2018-06-22,2,MEA,S.commune.DSC3
22,6647.610054996002,50,2018-06-22,2,MEA,S.commune.DSC3
23,2123.7166338267,50,2018-06-22,2,MEA,S.commune.DSC3
24,76453.7988177612,52.5,2018-06-22,1,MEA,S.commune
25,10568.317686676064,52.5,2018-06-22,1,MEA,S.commune
26,11309.733552923255,52.5,2018-06-22,1,MEA,S.commune
27,11309.733552923255,52.5,2018-06-22,2,MEA,S.commune
28,6361.725123519331,52.5,2018-06-22,2,MEA,S.commune
29,5281.017250684442,52.5,2018-06-22,2,MEA,S.commune
30,4071.5040790523717,52.5,2018-06-22,1,MEA,S.commune.DSC3
31,6361.725123519331,52.5,2018-06-22,1,MEA,S.commune.DSC3
32,14957.122623741005,52.5,2018-06-22,1,MEA,S.commune.DSC3
33,35298.93505573492,52.5,2018-06-22,2,MEA,S.commune.DSC3
34,5026.548245743669,52.5,2018-06-22,2,MEA,S.commune.DSC3
35,5541.769440932395,52.5,2018-06-22,2,MEA,S.commune.DSC3
36,10935.88402714607,19.5,2018-06-22,1,PDA,Nc
37,21124.069002737768,19.5,2018-06-22,1,PDA,Nc
38,7853.981633974483,19.5,2018-06-22,1,PDA,Nc
39,14957.122623741005,19.5,2018-06-22,2,PDA,Nc
40,9503.317777109125,19.5,2018-06-22,2,PDA,Nc
41,8171.282491987052,19.5,2018-06-22,2,PDA,Nc
42,27171.63486089812,19.5,2018-06-22,1,PDA,P.ostreatus
