dupl,light_source,medium,species,temperature,day
1.0,0,0,3,30.0,1.0
1.0,0,0,3,30.0,1.0
1.0,0,0,3,30.0,1.0
2.0,0,0,3,30.0,1.0
2.0,0,0,3,30.0,1.0
2.0,0,0,3,30.0,1.0
1.0,0,0,4,30.0,1.0
1.0,0,0,4,30.0,1.0
1.0,0,0,4,30.0,1.0
2.0,0,0,4,30.0,1.0
2.0,0,0,4,30.0,1.0
2.0,0,0,4,30.0,1.0
1.0,0,0,3,30.0,1.0
1.0,0,0,3,30.0,1.0
1.0,0,0,3,30.0,1.0
2.0,0,0,3,30.0,1.0
2.0,0,0,3,30.0,1.0
2.0,0,0,3,30.0,1.0
1.0,0,0,4,30.0,1.0
1.0,0,0,4,30.0,1.0
2.0,0,0,4,30.0,1.0
1.0,0,0,3,30.0,1.0
1.0,0,0,3,30.0,1.0
1.0,0,0,3,30.0,1.0
2.0,0,0,3,30.0,1.0
2.0,0,0,3,30.0,1.0
2.0,0,0,3,30.0,1.0
1.0,0,0,4,30.0,1.0
1.0,0,0,4,30.0,1.0
1.0,0,0,4,30.0,1.0
2.0,0,0,4,30.0,1.0
2.0,0,0,4,30.0,1.0
2.0,0,0,4,30.0,1.0
1.0,0,1,1,30.0,1.0
1.0,0,1,1,30.0,1.0
1.0,0,1,1,30.0,1.0
2.0,0,1,1,30.0,1.0
2.0,0,1,1,30.0,1.0
2.0,0,1,1,30.0,1.0
1.0,0,1,2,30.0,1.0
1.0,0,1,2,30.0,1.0
1.0,0,1,2,30.0,1.0
1.0,0,1,2,30.0,1.0
1.0,0,1,2,30.0,1.0
1.0,0,1,2,30.0,1.0
1.0,0,1,2,30.0,1.0
1.0,0,1,2,30.0,1.0
2.0,0,1,2,30.0,1.0
2.0,0,1,2,30.0,1.0
2.0,0,1,2,30.0,1.0
2.0,0,1,2,30.0,1.0
2.0,0,1,2,30.0,1.0
2.0,0,1,2,30.0,1.0
2.0,0,1,2,30.0,1.0
2.0,0,1,2,30.0,1.0
1.0,0,1,3,30.0,1.0
1.0,0,1,3,30.0,1.0
1.0,0,1,3,30.0,1.0
2.0,0,1,3,30.0,1.0
2.0,0,1,3,30.0,1.0
