area,concentration,date,dupl,light_source,medium,species,temperature
82447.95760081054,47.5,2018-06-22,1,dark,MEA,S.commune,30.0
7853.981633974483,47.5,2018-06-22,1,dark,MEA,S.commune,30.0
8494.8665353068,47.5,2018-06-22,1,dark,MEA,S.commune,30.0
13684.77759903714,47.5,2018-06-22,2,dark,MEA,S.commune,30.0
34636.05900582747,47.5,2018-06-22,2,dark,MEA,S.commune,30.0
7542.9639612690935,47.5,2018-06-22,2,dark,MEA,S.commune,30.0
4536.459791783661,47.5,2018-06-22,1,dark,MEA,S.commune.DSC3,30.0
4778.362426110075,47.5,2018-06-22,1,dark,MEA,S.commune.DSC3,30.0
6082.12337734984,47.5,2018-06-22,1,dark,MEA,S.commune.DSC3,30.0
6647.610054996002,47.5,2018-06-22,2,dark,MEA,S.commune.DSC3,30.0
6361.725123519331,47.5,2018-06-22,2,dark,MEA,S.commune.DSC3,30.0
4071.5040790523717,47.5,2018-06-22,2,dark,MEA,S.commune.DSC3,30.0
17203.36137105771,50,2018-06-22,1,dark,MEA,S.commune,30.0
101787.60197630929,50,2018-06-22,1,dark,MEA,S.commune,30.0
13684.77759903714,50,2018-06-22,1,dark,MEA,S.commune,30.0
10568.317686676064,50,2018-06-22,2,dark,MEA,S.commune,30.0
14957.122623741005,50,2018-06-22,2,dark,MEA,S.commune,30.0
18145.839167134644,50,2018-06-22,2,dark,MEA,S.commune,30.0
3631.681107549801,50,2018-06-22,1,dark,MEA,S.commune.DSC3,30.0
6939.778171779853,50,2018-06-22,1,dark,MEA,S.commune.DSC3,30.0
9503.317777109125,50,2018-06-22,1,dark,MEA,S.commune.DSC3,30.0
3421.194399759285,50,2018-06-22,2,dark,MEA,S.commune.DSC3,30.0
6647.610054996002,50,2018-06-22,2,dark,MEA,S.commune.DSC3,30.0
2123.7166338267,50,2018-06-22,2,dark,MEA,S.commune.DSC3,30.0
76453.7988177612,52.5,2018-06-22,1,dark,MEA,S.commune,30.0
10568.317686676064,52.5,2018-06-22,1,dark,MEA,S.commune,30.0
11309.733552923255,52.5,2018-06-22,1,dark,MEA,S.commune,30.0
11309.733552923255,52.5,2018-06-22,2,dark,MEA,S.commune,30.0
6361.725123519331,52.5,2018-06-22,2,dark,MEA,S.commune,30.0
5281.017250684442,52.5,2018-06-22,2,dark,MEA,S.commune,30.0
4071.5040790523717,52.5,2018-06-22,1,dark,MEA,S.commune.DSC3,30.0
6361.725123519331,52.5,2018-06-22,1,dark,MEA,S.commune.DSC3,30.0
14957.122623741005,52.5,2018-06-22,1,dark,MEA,S.commune.DSC3,30.0
35298.93505573492,52.5,2018-06-22,2,dark,MEA,S.commune.DSC3,30.0
5026.548245743669,52.5,2018-06-22,2,dark,MEA,S.commune.DSC3,30.0
5541.769440932395,52.5,2018-06-22,2,dark,MEA,S.commune.DSC3,30.0
10935.88402714607,19.5,2018-06-22,1,dark,PDA,Nc,30.0
21124.069002737768,19.5,2018-06-22,1,dark,PDA,Nc,30.0
7853.981633974483,19.5,2018-06-22,1,dark,PDA,Nc,30.0
14957.122623741005,19.5,2018-06-22,2,dark,PDA,Nc,30.0
9503.317777109125,19.5,2018-06-22,2,dark,PDA,Nc,30.0
8171.282491987052,19.5,2018-06-22,2,dark,PDA,Nc,30.0
27171.63486089812,19.5,2018-06-22,1,dark,PDA,P.ostreatus,30.0
23235.21926595011,19.5,2018-06-22,1,dark,PDA,P.ostreatus,30.0
38707.56308487984,19.5,2018-06-22,1,dark,PDA,P.ostreatus,30.0
15836.768566746146,19.5,2018-06-22,1,dark,PDA,P.ostreatus,30.0
15393.804002589986,19.5,2018-06-22,1,dark,PDA,P.ostreatus,30.0
