species,concentration,media,light_source,temperature,day,area_mean,area_change,area_lfc
0,50.0,0,0,30.0,1.0,19151.148816283378,19151.148816283378,0.0
0,50.0,0,0,30.0,2.0,230767.78276454064,211616.63394825725,3.590938982450391
0,50.0,0,0,30.0,3.0,509518.1573249094,278750.3745603688,1.142691734593111
3,50.0,0,0,30.0,1.0,29391.170070659307,29391.170070659307,0.0
3,50.0,0,0,30.0,2.0,130796.54494078184,101405.37487012253,2.1538697324582543
3,50.0,0,0,30.0,3.0,345036.4087547866,214239.86381400476,1.3994241734544168
3,50.0,0,0,30.0,4.0,564641.0656235715,219604.65686878492,0.7105854527222597
3,50.0,0,0,30.0,5.0,810890.6169850025,246249.55136143102,0.5221732609396703
4,50.0,0,0,30.0,1.0,5377.883024170128,5377.883024170128,0.0
4,50.0,0,0,30.0,2.0,16310.625458662607,10932.74243449248,1.6007018255010994
4,50.0,0,0,30.0,3.0,54434.37590875035,38123.75045008774,1.7387059114000465
4,50.0,0,0,30.0,4.0,137760.9322550148,83326.55634626446,1.3395768886610178
4,50.0,0,0,30.0,5.0,236764.55954146796,99003.62728645315,0.7812863342765048
0,52.5,0,0,30.0,1.0,17204.9321673845,17204.9321673845,0.0
0,52.5,0,0,30.0,2.0,168696.45691430132,151491.5247469168,3.293535564221452
0,52.5,0,0,30.0,3.0,223563.58721108362,54867.1302967823,0.4062555557883769
3,52.5,0,0,30.0,1.0,20214.05433074792,20214.05433074792,0.0
3,52.5,0,0,30.0,2.0,56030.30497677397,35816.25064602605,1.4708486333445538
3,52.5,0,0,30.0,3.0,192570.72848586913,136540.42350909516,1.781109174091446
3,52.5,0,0,30.0,4.0,375491.0079386861,182920.279452817,0.9633899347694808
3,52.5,0,0,30.0,5.0,515163.59932341013,139672.59138472402,0.45625229916528554
4,52.5,0,0,30.0,1.0,11876.267428120613,11876.267428120613,0.0
4,52.5,0,0,30.0,2.0,46075.121456323504,34198.85402820289,1.955906483670132
4,52.5,0,0,30.0,3.0,118249.54748111981,72174.4260247963,1.3597747886615181
4,52.5,0,0,30.0,4.0,231468.88152506677,113219.33404394696,0.968983589205088
4,52.5,0,0,30.0,5.0,374210.8089323482,142741.92740728144,0.6930329790040837
0,47.5,0,0,30.0,1.0,24511.22948208317,24511.22948208317,0.0
0,47.5,0,0,30.0,2.0,43743.536108584274,19232.306626501104,0.8356269971134651
0,47.5,0,0,30.0,3.0,484583.8600321428,440840.3239235585,3.469604600185333
3,47.5,0,0,30.0,1.0,25776.76772270426,25776.76772270426,0.0
3,47.5,0,0,30.0,2.0,102213.8113796463,76437.04365694204,1.9874468764853752
3,47.5,0,0,30.0,3.0,242577.5531481603,140363.741768514,1.2468559072961227
3,47.5,0,0,30.0,4.0,596058.5629557961,353481.0098076358,1.2970080257097258
3,47.5,0,0,30.0,5.0,646480.0778483612,50421.51489256509,0.11715182920791989
4,47.5,0,0,30.0,1.0,5412.9641421352135,5412.9641421352135,0.0
4,47.5,0,0,30.0,2.0,8077.558311154957,2664.5941690197433,0.5775004291766521
4,47.5,0,0,30.0,3.0,6506.238385584461,-1571.3199255704958,-0.31209557718108805
4,47.5,0,0,30.0,4.0,8394.859169167525,1888.6207835830637,0.3676824399102596
4,47.5,0,0,30.0,5.0,7002.08642607605,-1392.7727430914747,-0.2617212540192284
0,58.5,1,0,30.0,1.0,27148.596514771794,27148.596514771794,0.0
0,58.5,1,0,30.0,2.0,336099.62485287484,308951.02833810303,3.629939409439542
0,58.5,1,0,30.0,3.0,205887.41614566065,-130212.20870721419,-0.707033277306337
0,58.5,1,0,30.0,4.0,205887.41614566065,0.0,0.0
0,58.5,1,0,30.0,5.0,15041.945625387927,-190845.47052027273,-3.774792563056497
0,58.5,1,0,30.0,6.0,15041.945625387927,0.0,0.0
0,58.5,1,0,28.0,1.0,205887.41614566065,205887.41614566065,0.0
0,58.5,1,0,28.0,2.0,15041.945625387927,-190845.47052027273,-3.774792563056497
0,58.5,1,0,28.0,3.0,15041.945625387927,0.0,0.0
2,58.5,1,1,25.0,1.0,205887.41614566065,205887.41614566065,0.0
2,58.5,1,1,25.0,2.0,15041.945625387927,-190845.47052027273,-3.774792563056497
2,58.5,1,1,25.0,3.0,15041.945625387927,0.0,0.0
2,58.5,1,0,28.0,1.0,205887.41614566065,205887.41614566065,0.0
2,58.5,1,0,28.0,2.0,15041.945625387927,-190845.47052027273,-3.774792563056497
2,58.5,1,0,28.0,3.0,15041.945625387927,0.0,0.0
3,58.5,1,0,30.0,1.0,38760.970159990866,38760.970159990866,0.0
3,58.5,1,0,30.0,2.0,140181.52939460575,101420.55923461489,1.854619683451773
3,58.5,1,0,30.0,3.0,348295.811132886,208114.28173828023,1.3130168526766468
3,58.5,1,0,30.0,4.0,622439.9825445614,274144.1714116754,0.8376216129823746
3,58.5,1,0,30.0,5.0,745088.3880592376,122648.40551467624,0.25947684412336613
3,58.5,1,1,30.0,1.0,205887.41614566065,205887.41614566065,0.0
3,58.5,1,1,30.0,2.0,15041.945625387927,-190845.47052027273,-3.774792563056497
3,58.5,1,1,30.0,3.0,15041.945625387927,0.0,0.0
3,58.5,1,1,37.0,1.0,205887.41614566065,205887.41614566065,0.0
3,58.5,1,1,37.0,2.0,15041.945625387927,-190845.47052027273,-3.774792563056497
3,58.5,1,1,37.0,3.0,15041.945625387927,0.0,0.0
4,58.5,1,0,30.0,1.0,7763.922644571576,7763.922644571576,0.0
4,58.5,1,0,30.0,2.0,20507.79324385857,12743.870599286995,1.4013146088901944
4,58.5,1,0,30.0,3.0,56362.26660050327,35854.4733566447,1.45855737267817
4,58.5,1,0,30.0,4.0,134658.0859108193,78295.81931031603,1.256499327284315
4,58.5,1,0,30.0,5.0,142502.11916805743,7844.03325723813,0.08168251096146761
4,58.5,1,1,30.0,1.0,112257.48309317285,112257.48309317285,0.0
4,58.5,1,1,30.0,2.0,15041.945625387927,-97215.53746778492,-2.8997485263644975
4,58.5,1,1,30.0,3.0,15041.945625387927,0.0,0.0
4,58.5,1,1,37.0,1.0,15041.945625387927,15041.945625387927,0.0
4,58.5,1,1,37.0,2.0,15041.945625387927,0.0,0.0
0,19.5,1,0,30.0,1.0,28268.05069700096,28268.05069700096,0.0
0,19.5,1,0,30.0,2.0,226784.24327978876,198516.1925827878,3.0040761002802565
0,19.5,1,0,30.0,3.0,205887.41614566065,-20896.827134128107,-0.13946475185930396
1,19.5,1,0,30.0,1.0,12090.942926115915,12090.942926115915,0.0
2,19.5,1,0,30.0,1.0,25858.645481238433,25858.645481238433,0.0
